"Rank","Title","Release","Distributor","Genre","MPAA","Gross","Tickets","AdjGross"
278,"The Girl from Monaco","7/3/2009","Magnolia Pictures","Comedy","NA",  602992,  80399,  634348
279,"The Girl Who Played with Fire","12/25/2009","Music Box Films","Thriller/Suspense","R",  598477,  79797,  629598
280,"Role Models","11/7/2008","Universal","Comedy","R",  590530,  78737,  621235
281,"Lemon Tree","4/17/2009","IFC Films","NA","Not Rated",  569672,  75956,  599293
282,"American Violet","4/17/2009","Samuel Goldwyn Films","NA","PG-13",  554434,  73925,  583268
283,"From Mexico with Love","10/9/2009","Roadside Attractions","Drama","PG-13",  548775,  73170,  577311
284,"Roving Mars","1/27/2006","Walt Disney Pictures","Documentary","G",  545961,  72795,  574353
285,"U2 3D","1/23/2008","National Geographic Entertainment","Concert/Performance","G",  544857,  72648,  573193
286,"Shall We Kiss?","3/27/2009","Music Box Films","Romantic Comedy","Not Rated",  534685,  71291,  562486
287,"Red Cliff","11/20/2009","Magnolia Pictures","Action","R",  526841,  70245,  554233
288,"Pour toujours, les Canadiens","11/27/2009","Seville","NA","NA",  521544,  69539,  548663
289,"Tetro","6/11/2009","American Zoetrope","Drama","R",  518522,  69136,  545483
290,"The Polar Express","11/10/2004","Warner Bros.","Adventure","G",  517658,  69021,  544576
291,"The Maid","10/16/2009","Elephant Eye Films","Drama","NA",  492776,  65703,  518397
292,"Little Ashes","5/8/2009","Regent Releasing","Drama","NA",  481586,  64211,  506625
293,"The Baader Meinhof Complex","8/21/2009","Vitagraph Films","Action","R",  476270,  63503,  501039
294,"Crossing Over","2/27/2009","Weinstein Co.","Drama","R",  455654,  60754,  479349
295,"The Damned United","10/9/2009","Sony Pictures Classics","Drama","R",  438836,  58511,  461652
296,"The Limits of Control","5/1/2009","Focus Features","Thriller/Suspense","R",  426688,  56892,  448878
297,"Lymelife","4/10/2009","Screen Media Films","Drama","R",  421307,  56174,  443213
298,"La Danse","11/4/2009","Zipporah","NA","NA",  417932,  55724,  439662
299,"Humpday","7/10/2009","Magnolia Pictures","Comedy","R",  407377,  54317,  428561
300,"Tim Burton's The Nightmare Before Christmas 3D","10/20/2006","Walt Disney Pictures","Musical","PG",  406085,  54145,  427204
301,"Antichrist","10/23/2009","IFC Films","Drama","NA",  404122,  53883,  425137
302,"Transylmania","12/4/2009","Full Circle Releasing","NA","R",  397641,  53019,  418320
303,"Stone of Destiny","2/21/2009","Alliance","NA","PG",  389584,  51945,  409846
304,"Vicky Cristina Barcelona","8/15/2008","MGM","Comedy","PG-13",  386017,  51469,  406090
305,"The Lovely Bones","12/11/2009","Paramount Pictures","Drama","PG-13",  383101,  51080,  403021
306,"Synecdoche, New York","10/24/2008","Sony Pictures Classics","Drama","R",  377689,  50359,  397333
307,"Luck by Chance","1/30/2009","AdLab Films","Comedy","Not Rated",  356019,  47469,  374530
308,"Dil Bole Hadippa!","9/18/2009","Yash Raj Films","NA","NA",  351457,  46861,  369733
309,"Tokyo!","3/6/2009","NA","Drama","Not Rated",  351059,  46808,  369315
310,"Wanted","9/18/2009","Eros Entertainment","NA","NA",  349637,  46618,  367816
311,"Merry Gentleman, The","5/1/2009","NA","NA","R",  347977,  46397,  366072
312,"Lorna's Silence","7/31/2009","Sony Pictures Classics","Drama","NA",  338795,  45173,  356415
313,"High School Musical 3: Senior Year","10/24/2008","Walt Disney Pictures","Musical","G",  335126,  44683,  352549
314,"BLUE","10/16/2009","Viva Entertainment","Action","NA",  321640,  42885,  338363
315,"Thirst","7/31/2009","Focus Features","Horror","R",  318574,  42477,  335144
316,"The Informers","4/24/2009","Senator Entertainment","Thriller/Suspense","R",  315000,  42000,  331380
317,"Unmistaken Child","6/3/2009","Oscilloscope Pictures","NA","NA",  306140,  40819,  322062
318,"O'Horten","5/22/2009","Sony Pictures Classics","Comedy","NA",  302232,  40298,  317951
319,"London Dreams","10/30/2009","Studio 18","Drama","NA",  300293,  40039,  315908
320,"Adoration","5/8/2009","Sony Pictures Classics","Drama","NA",  294244,  39233,  309548
321,"Revanche","5/1/2009","Janus Films","Drama","NA",  294122,  39216,  309414
322,"A Woman in Berlin","7/17/2009","Strand","Drama","NA",  294014,  39202,  309304
323,"Outrage","5/8/2009","Magnolia Pictures","NA","R",  287198,  38293,  302132
324,"Noemie: Le Secret","12/11/2009","NA","NA","NA",  283459,  37795,  298203
325,"Tokyo Sonata","3/13/2009","Regent Releasing","Drama","PG-13",  278356,  37114,  292829
326,"Tera Mera Ki Rishta","4/10/2009","Eros Entertainment","Drama","Not Rated",  271942,  36259,  286084
327,"Grande ourse - La cle des possibles","3/27/2009","Alliance","NA","Not Rated",  268143,  35752,  282083
328,"La Bonheur de Pierre","2/27/2009","Vivafilm","NA","Not Rated",  267856,  35714,  281783
329,"The Private Lives of Pippa Lee","11/27/2009","Screen Media Films","Drama","R",  261198,  34826,  274777
330,"What's Your Raashee?","9/25/2009","NA","NA","NA",  257868,  34382,  271274
331,"Blood: The Last Vampire","7/10/2009","Samuel Goldwyn Films","Action","R",  256682,  34224,  270027
332,"The Secret Life of Bees","10/17/2008","Fox Searchlight","Drama","PG-13",  255175,  34023,  268441
333,"Spread","8/14/2009","NA","Comedy","R",  250617,  33416,  263652
334,"Larger than Life 3D: The Dave Matthews Band","12/11/2009","NA","NA","PG",  246042,  32806,  258839
335,"Black Dynamite","10/16/2009","Apparition","NA","R",  242578,  32344,  255194
336,"Ghajini","12/26/2008","AdLab Films","Thriller/Suspense","Not Rated",  237949,  31727,  250326
337,"Big Fan","8/28/2009","First Independent Pictures","Comedy","R",  230874,  30783,  242878
338,"(Untitled)","10/23/2009","NA","NA","R",  230600,  30747,  242594
339,"The Beaches of Agnes","7/1/2009","Cinema Guild","Documentary","NA",  225188,  30025,  236897
340,"World's Greatest Dad","8/21/2009","Magnolia Pictures","Black Comedy","R",  221805,  29574,  233339
341,"Do Knot Disturb","10/2/2009","Reliance Big Pictures","NA","NA",  213525,  28470,  224628
342,"Enlighten Up!","9/12/2008","Balcony Releasing","Documentary","Not Rated",  213423,  28456,  224518
343,"Soul Power","7/10/2009","Sony Pictures Classics","Documentary","PG-13",  207121,  27616,  217890
344,"Harvard Beats Yale","11/19/2008","Kino/Emerging","Documentary","Not Rated",  204458,  27261,  215089
345,"Skin","10/30/2009","Elysian Films","NA","PG-13",  203305,  27107,  213874
346,"Frozen River","8/1/2008","Sony Pictures Classics","Drama","R",  202328,  26977,  212849
347,"Happy-Go-Lucky","10/10/2008","Miramax","Comedy","R",  201587,  26878,  212067
348,"The Burning Plain","9/18/2009","Magnolia Pictures","Drama","NA",  200730,  26764,  211168
349,"Fireproof","9/26/2008","Samuel Goldwyn Films","Drama","PG",  199773,  26636,  210158
350,"Paa","12/4/2009","Reliance Big Pictures","NA","NA",  199228,  26564,  209590
351,"Main Aurr Mrs. Khanna","10/16/2009","UTV Communications","NA","NA",  197183,  26291,  207436
352,"Herb & Dorothy","6/5/2009","Arthouse Films","Documentary","NA",  194721,  25963,  204848
353,"The Boy in the Striped Pyjamas","11/7/2008","Miramax","Drama","PG-13",  192019,  25603,  202008
354,"Shrink","7/24/2009","Roadside Attractions","Drama","R",  189621,  25283,  199483
355,"The Golden Boys","4/17/2009","Roadside Attractions","NA","PG",  184169,  24556,  193747
356,"Passport to Love","10/9/2009","Variance Films/Everest Films","NA","PG-13",  173828,  23177,  182867
357,"Fuel","11/14/2008","Blue Water Entertainment","Documentary","Not Rated",  169340,  22579,  178148
358,"Still Walking","8/28/2009","IFC Films","NA","NA",  167047,  22273,  175734
359,"Outlander","1/23/2009","Third Rail","Adventure","R",  166003,  22134,  174637
360,"Rocket Singh: Salesman of the Year","12/11/2009","Yash Raj Films","NA","NA",  164649,  21953,  173209
361,"Youssou N'Dour: I Bring What I Love","6/12/2009","Shadow","Documentary","Not Rated",  164234,  21898,  172775
362,"Crude","9/11/2009","First Run Features","Documentary","NA",  163417,  21789,  171915
363,"The Yes Men Fix the World","10/7/2009","Shadow","Documentary","NA",  160901,  21453,  169264
364,"Tulpan","4/1/2009","Zeitgeist","Comedy","Not Rated",  158741,  21165,  166992
365,"Zack and Miri Make a Porno","10/31/2008","Weinstein Co.","Comedy","R",  157136,  20951,  165303
366,"Brothers at War","3/13/2009","NA","NA","R",  153148,  20420,  161114
367,"Hunger","12/5/2008","IFC Films","Drama","Not Rated",  152104,  20281,  160017
368,"The Other Man","9/11/2009","Image Entertainment","Drama","R",  149530,  19937,  157303
369,"Flammen og Citronen","7/31/2009","IFC Films","Thriller/Suspense","NA",  148089,  19745,  155788
370,"Only the Brave","11/10/2009","Indican Pictures","NA","R",  142403,  18987,  149807
371,"Free Style","10/9/2009","Samuel Goldwyn Films","NA","PG-13",  141108,  18814,  148442
372,"Art & Copy","8/21/2009","7th Art Releasing","Documentary","NA",  139418,  18589,  146667
373,"The Horse Boy","9/11/2009","Zeitgeist","Documentary","NA",  137495,  18333,  144647
374,"35 Shots of Rum","9/18/2009","Cinema Guild","Drama","NA",  132755,  17701,  139661
375,"Appaloosa","9/19/2008","Warner Bros.","Western","R",  130820,  17443,  137625
376,"Fados","3/6/2009","Zeitgeist","Drama","Not Rated",  129150,  17220,  135866
377,"12","3/4/2009","Sony Pictures Classics","Thriller/Suspense","PG-13",  125120,  16683,  131629
378,"War Eagle, Arkansas","6/12/2009","Empire Pictures","Drama","PG-13",  123670,  16489,  130098
379,"Street Dreams","6/12/2009","Slowhand Cinema","NA","R",  122575,  16343,  128946
380,"Carriers","9/4/2009","Paramount Vantage","Thriller/Suspense","NA",  120866,  16115,  127147
381,"All the Best: Fun Begins","10/16/2009","Yash Raj Films","NA","NA",  120713,  16095,  126990
382,"Examined Life","2/25/2009","Zeitgeist","Documentary","Not Rated",  120712,  16095,  126990
383,"The Song of Sparrows","4/3/2009","Regent Releasing","Drama","PG",  116372,  15516,  122421
384,"Throw Down Your Heart","3/13/2009","Argot Pictures","Documentary","Not Rated",  115778,  15437,  121798
385,"Gentlemen Broncos","10/30/2009","Fox Searchlight","Comedy","PG-13",  115155,  15354,  121143
386,"Ballerina","1/16/2009","First Run Features","Documentary","Not Rated",  114507,  15268,  120465
387,"Monster Beach Party","4/10/2009","Indican Pictures","Comedy","Not Rated",  113132,  15084,  119013
388,"Rolling","4/3/2009","Indican Pictures","Drama","Not Rated",  113132,  15084,  119013
389,"Medicine for Melancholy","1/30/2009","IFC Films","Drama","Not Rated",  111551,  14873,  117348
390,"Irene in Time","6/19/2009","Rainbow Releasing","Drama","PG-13",  110175,  14690,  115904
391,"The Way We Get By","7/17/2009","International Film Circuit","Documentary","NA",  106542,  14206,  112085
